ACK Flag Count,Active Max,Active Mean,Active Min,Active Std,Average Packet Size,Bwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Header Length,Bwd IAT Max,Bwd IAT Mean,Bwd IAT Min,Bwd IAT Std,Bwd IAT Total,Bwd Init Win Bytes,Bwd PSH Flags,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Min,Bwd Packet Length Std,Bwd Packet/Bulk Avg,Bwd Packets/s,Bwd RST Flags,Bwd Segment Size Avg,Bwd URG Flags,CWR Flag Count,Down/Up Ratio,ECE Flag Count,FIN Flag Count,FWD Init Win Bytes,Flow Bytes/s,Flow Duration,Flow IAT Max,Flow IAT Mean,Flow IAT Min,Flow IAT Std,Flow Packets/s,Fwd Act Data Pkts,Fwd Bulk Rate Avg,Fwd Bytes/Bulk Avg,Fwd Header Length,Fwd IAT Max,Fwd IAT Mean,Fwd IAT Min,Fwd IAT Std,Fwd IAT Total,Fwd PSH Flags,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Min,Fwd Packet Length Std,Fwd Packet/Bulk Avg,Fwd Packets/s,Fwd RST Flags,Fwd Seg Size Min,Fwd Segment Size Avg,Fwd URG Flags,ICMP Code,ICMP Type,Idle Max,Idle Mean,Idle Min,Idle Std,PSH Flag Count,Packet Length Max,Packet Length Mean,Packet Length Min,Packet Length Std,Packet Length Variance,Protocol,RST Flag Count,SYN Flag Count,Subflow Bwd Bytes,Subflow Bwd Packets,Subflow Fwd Bytes,Subflow Fwd Packets,Total Backward Packets,Total Fwd Packets,Total Length of Bwd Packets,Total Length of Fwd Packets,Total TCP Flow Time,URG Flag Count
20,780822.5154876709,780822.5154876709,780822.5154876709,0.0,372.6190476190476,0,0,372,276291.3703918457,97602.81443595886,0.0,134069.9204874151,780822.5154876709,0,2,1492,262.55555555555554,40,491.2283356828856,0,11.526306966672133,0,221.2222222222222,0,0,0.4326254119370194,0,1,0,10021.483557134381,780822.5154876709,251374.9599456787,39041.125774383545,0.0,91484.00835228157,26.89471625556831,8,0,0,492,253551.00631713867,48256.28887523304,0.0,101234.62612581777,530819.1776275635,4,1492,455.1666666666667,40,635.7239013816287,0,15.368409288896176,0,-1.0,414.1666666666667,0,0,0,251374.9599456787,39041.125774383545,0.0,91484.00835228157,6,1492,372.6190476190476,40,573.0109489521535,328341.5476190475,6,0,2,2363,9,5462,12,9,12,2363,5462,780822.5154876709,0
2,1.0,1.0,1.0,0.0,52.0,0,0,80,0.0,0.0,0.0,0.0,0.0,0,1,64,52.0,40,16.97056274847714,0,2000000.0,0,12.0,0,0,0.0,0,1,0,104000000.0,1.0,0.0,0.0,0.0,0.0,2000000.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,64,52.0,40,16.97056274847714,288.0,6,0,0,104,2,0,0,2,0,104,0,1.0,0
0,1.0,1.0,1.0,0.0,40.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,40000000.0,1.0,0,0.0,0,0.0,1000000.0,0,0,0,40,0,0.0,0,0.0,0,0,40,40.0,40,0.0,0,1000000.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0,40,40.0,40,0.0,0.0,6,1,0,0,0,40,1,0,1,0,40,1.0,0
0,1.0,1.0,1.0,0.0,40.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,40000000.0,1.0,0,0.0,0,0.0,1000000.0,0,0,0,40,0,0.0,0,0.0,0,0,40,40.0,40,0.0,0,1000000.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0,40,40.0,40,0.0,0.0,6,1,0,0,0,40,1,0,1,0,40,1.0,0
13,1019453.5255432129,1019453.5255432129,1019453.5255432129,0.0,246.5,0,0,292,271039.9627685547,169740.63714345297,1008.0337524414062,130959.39515454494,1018443.8228607178,0,3,1492,336.85714285714283,40,542.1692320581058,0,6.866423848277017,0,295.1428571428571,0,0,2.1573650503202195,0,1,0,3385.1469572005694,1019453.5255432129,270997.0474243164,78419.50196486253,0.0,122016.33810353122,13.732847696554034,4,0,0,292,270997.0474243164,128470.02347310384,0.0,140584.94859660816,770820.140838623,3,437,156.14285714285714,40,155.98870532982892,0,6.866423848277017,0,-1.7142857142857153,114.42857142857142,0,0,0,270997.0474243164,78419.50196486253,0.0,122016.33810353122,6,1492,246.5,40,394.5768424722675,155690.88461538462,6,0,2,2358,7,1093,7,7,7,2358,1093,1019453.5255432129,0
2,1.0,1.0,1.0,0.0,52.0,0,0,80,0.0,0.0,0.0,0.0,0.0,0,1,64,52.0,40,16.97056274847714,0,2000000.0,0,12.0,0,0,0.0,0,1,0,104000000.0,1.0,0.0,0.0,0.0,0.0,2000000.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,64,52.0,40,16.97056274847714,288.0,6,0,0,104,2,0,0,2,0,104,0,1.0,0
19,789901.4949798584,789901.4949798584,789901.4949798584,0.0,389.25,0,0,372,279620.1705932617,98737.6868724823,0.0,135678.0608800178,789901.4949798584,0,2,1492,262.55555555555554,40,491.2283356828856,0,11.393825758273175,0,221.2222222222222,0,0,0.43581704168203617,0,1,0,9855.659280906297,789901.4949798584,252444.50569152832,41573.76289367676,0.0,92230.89236491361,25.319612796162613,8,0,0,452,252281.66580200195,53745.69892883301,0.0,102406.87203845172,537456.9892883301,4,1492,492.90909090909093,40,652.499878091246,0,13.925787037889437,0,-1.0909090909090935,451.81818181818187,0,0,0,252444.50569152832,41573.76289367676,0.0,92230.89236491361,6,1492,389.25,40,582.6736809064338,339508.61842105264,6,0,2,2363,9,5422,11,9,11,2363,5422,789901.4949798584,0
13,1011166.5725708008,1011166.5725708008,1011166.5725708008,0.0,323.2142857142857,0,0,292,275507.45010375977,168527.76209513345,68.18771362304688,130724.27418761668,1011166.5725708008,0,3,1492,407.2857142857143,40,538.7852739529649,0,6.922697199337914,0,365.57142857142856,0,0,1.7031063321385902,0,1,0,4475.02926100058,1011166.5725708008,275507.45010375977,77782.04404390775,0.0,121346.88637241743,13.845394398675827,4,0,0,292,275507.45010375977,127391.25887552898,0.0,140049.563225493,764347.5532531738,3,1018,239.14285714285714,40,356.29782886953274,0,6.922697199337914,0,-1.7142857142857153,197.42857142857142,0,0,0,275507.45010375977,77782.04404390775,0.0,121346.88637241743,6,1492,323.2142857142857,40,447.4180936768768,200182.95054945053,6,0,2,2851,7,1674,7,7,7,2851,1674,1011166.5725708008,0
13,1048354.8641204834,1048354.8641204834,1048354.8641204834,0.0,372.64285714285717,0,0,292,298002.2430419922,174725.81068674722,0.0,136610.42247101435,1048354.8641204834,0,3,1492,456.42857142857144,40,573.188990689475,0,6.677128365186387,0,414.7142857142857,0,0,1.5801186943620178,0,1,0,4976.36838302534,1048354.8641204834,298002.2430419922,80642.6818554218,0.0,126289.32201264631,13.354256730372773,4,0,0,292,298002.2430419922,133255.36251068115,0.0,146989.47135460944,799532.1750640869,3,1366,288.85714285714283,40,484.35125978688524,0,6.677128365186387,0,-1.7142857142857153,247.1428571428571,0,0,0,298002.2430419922,80642.6818554218,0.0,126289.32201264631,6,1492,372.64285714285717,40,517.1765964041025,267471.63186813187,6,0,2,3195,7,2022,7,7,7,3195,2022,1048354.8641204834,0
2,1.0,1.0,1.0,0.0,52.0,0,0,80,0.0,0.0,0.0,0.0,0.0,0,1,64,52.0,40,16.97056274847714,0,2000000.0,0,12.0,0,0,0.0,0,1,0,104000000.0,1.0,0.0,0.0,0.0,0.0,2000000.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,64,52.0,40,16.97056274847714,288.0,6,0,0,104,2,0,0,2,0,104,0,1.0,0
