Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Flow IAT Mean,Fwd IAT Mean,Fwd Header Length,Flow IAT Std,Flow Bytes/s
1007259.6073150635,3184,0,63680,0,20,20,20.0,316.4497666713991,316.4497666713991,63680,532.2649101506097,63221.04007500557
643301.248550415,6,0,1438,0,689,20,239.66666666666666,128660.24971008301,128660.24971008301,120,153916.02978100692,2235.3446433382837
545274.7344970703,6,0,329,0,101,20,54.833333333333336,109054.94689941406,109054.94689941406,120,128374.90532853216,603.3655681909606
240378.85665893555,3,0,973,0,902,20,324.3333333333333,120189.42832946777,120189.42832946777,60,164262.7902115703,4047.776969754677
227203.6075592041,4,0,584,0,489,20,146.0,75734.53585306804,75734.53585306804,80,116868.24004403577,2570.3817218123304
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
1003558.3972930908,1881,0,37620,0,20,20,20.0,533.8076581346228,533.8076581346228,37620,1561.4713171122016,37486.60775643236
854725.8377075195,9,0,1839,0,678,20,204.33333333333334,106840.72971343994,106840.72971343994,180,127785.5306057762,2151.5671094399413
843581.9149017334,12,0,730,0,312,20,60.833333333333336,76689.26499106667,76689.26499106667,240,113341.26160507173,865.3575747709524
278108.5968017578,4,0,1704,0,1472,20,426.0,92702.86560058594,92702.86560058594,80,159669.77276735124,6127.102936032755
220725.29792785645,4,0,546,0,486,20,136.5,73575.09930928548,73575.09930928548,80,127435.81017560828,2473.6629880026658
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0
1002672.1954345703,2278,0,45560,0,20,20,20.0,440.34791191680733,440.34791191680733,45560,708.3903811367231,45438.57923601217
352431.058883667,5,0,1033,0,922,20,206.6,88107.76472091675,88107.76472091675,100,81106.93878130244,2931.0697055817095
256359.33876037598,6,0,329,0,101,20,54.833333333333336,51271.867752075195,51271.867752075195,120,82699.52625359134,1283.3548471098322
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
538403.9878845215,50,0,63379,0,1472,20,1267.58,10987.836487439214,10987.836487439214,1000,50144.719772159944,117716.43863379727
472222.56660461426,36,0,2113,0,487,20,58.69444444444444,13492.073331560407,13492.073331560407,720,53631.740029915614,4474.58497206718
501392.126083374,13,0,9917,0,1472,20,762.8461538461538,41782.6771736145,41782.6771736145,272,96884.75809558768,19778.93046998299
250184.0591430664,6,0,4504,0,1472,20,750.6666666666666,50036.81182861328,50036.81182861328,132,111011.64924501641,18002.74572019959
1004060.9836578369,1752,0,35040,0,20,20,20.0,573.4214641107006,573.4214641107006,35040,2176.862620360369,34898.27866067237
406818.6283111572,4,0,131,0,47,20,32.75,135606.2094370524,135606.2094370524,80,231170.71341468362,322.010819769551
654567.0032501221,10,0,1398,0,1039,20,139.8,72729.66702779134,72729.66702779134,200,116659.22113712561,2135.7630205288524
407930.6125640869,7,0,1401,0,764,20,200.14285714285714,67988.43542734782,67988.43542734782,140,105321.27816672323,3434.40760965175
542867.4221038818,20,0,1591,0,486,20,79.55,28571.969584414834,28571.969584414834,400,54816.34005194234,2930.7339789042453
587819.8146820068,25,0,22537,0,1472,20,901.48,24492.49227841695,24492.49227841695,500,58448.004198098366,38339.98010460374
306309.70001220703,5,0,309,0,101,20,61.8,76577.42500305176,76577.42500305176,100,105704.14447207411,1008.7829408852732
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
1011347.770690918,1004,0,20080,0,20,20,20.0,1008.3228022840658,1008.3228022840658,20080,4041.5661490802872,19854.69349112426
841597.318649292,12,0,383,0,94,20,31.916666666666668,76508.84714993564,76508.84714993564,240,245069.31708730655,455.0870012450725
815274.9538421631,20,0,22684,0,1472,20,1134.2,42909.208096955954,42909.208096955954,400,183043.5345235524,27823.74203095121
362715.2442932129,5,0,1562,0,760,20,312.4,90678.81107330322,90678.81107330322,100,158438.31486973393,4306.408469386816
312587.7380371094,4,0,219,0,101,20,54.75,104195.91267903645,104195.91267903645,80,138810.59875575954,700.6032974140561
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
1003948.2116699219,1748,0,34960,0,20,20,20.0,574.669840681123,574.669840681123,34960,1565.8554733830886,34822.513346429616
759535.551071167,16,0,1880,0,486,20,117.5,50635.70340474447,50635.70340474447,320,71936.37756729238,2475.1968454256694
766364.574432373,25,0,23709,0,1472,20,948.36,31931.857268015545,31931.857268015545,500,54287.1508438435,30936.972807701426
332389.11628723145,6,0,1271,0,653,20,211.83333333333334,66477.82325744629,66477.82325744629,120,118125.0453327765,3823.8315808802695
275179.8629760742,5,0,309,0,101,20,61.8,68794.96574401855,68794.96574401855,100,121117.78072462193,1122.9019327873796
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
1002889.87159729,2706,0,54120,0,20,20,20.0,370.7541114962255,370.7541114962255,54120,609.5863357001405,53964.05082225405
746415.8535003662,14,0,11250,0,1472,20,803.5714285714286,57416.60411541279,57416.60411541279,292,108015.6394394618,15072.027137744175
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
791006.5650939941,24,0,22015,0,1472,20,917.2916666666666,34391.5897866954,34391.5897866954,480,71191.43336910289,27831.627411820522
778663.8736724854,29,0,1697,0,486,20,58.51724137931034,27809.42405973162,27809.42405973162,580,63118.7044698352,2179.3742555388885
615716.6957855225,9,0,1820,0,658,20,202.22222222222223,76964.58697319031,76964.58697319031,180,73189.79074664772,2955.9049031114387
508493.66188049316,11,0,4783,0,1472,20,434.8181818181818,50849.36618804932,50849.36618804932,232,105403.75120925235,9406.213604141454
614889.38331604,8,0,369,0,101,20,46.125,87841.34047372,87841.34047372,160,76560.91282642762,600.1079381302992
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0
1.0,1,0,59,0,59,59,59.0,0.0,0.0,20,0.0,59000000.0
1.0,1,0,20,0,20,20,20.0,0.0,0.0,20,0.0,20000000.0
1004095.0775146484,2727,0,54540,0,20,20,20.0,368.3400871293648,368.3400871293648,54540,604.8848813129912,54317.56535944608
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
578359.3654632568,5,0,1073,0,993,20,214.6,144589.8413658142,144589.8413658142,100,170243.8585541724,1855.2479030758734
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
549988.0313873291,10,0,537,0,101,20,53.7,61109.78126525879,61109.78126525879,200,107934.23256187823,976.3848835863442
1.0,1,0,59,0,59,59,59.0,0.0,0.0,20,0.0,59000000.0
499681.7111968994,8,0,1501,0,847,20,187.625,71383.10159955706,71383.10159955706,160,101024.50595288178,3003.9122232523164
