Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Flow IAT Mean,Fwd IAT Mean,Fwd Header Length,Flow IAT Std,Flow Bytes/s,Label
1.0,2,0,1328,0,664,664,664.0,0.0,0.0,16,0.0,1328000000.0,0
421416.7594909668,20,0,23709,0,1472,20,1185.45,22179.82944689299,22179.82944689299,400,92157.99806802948,56260.22094763939,1
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
912262.9165649414,21,0,1378,0,966,20,65.61904761904762,45613.14582824707,45613.14582824707,432,94126.5392276872,1510.5294482305137,0
167002.20108032227,10,0,2543,0,1190,20,254.3,18555.80012003581,18555.80012003581,200,27535.208311552957,15227.344211929909,0
1.0,1,0,20,0,20,20,20.0,0.0,0.0,20,0.0,20000000.0,1
1.0,4,0,4659,0,1404,447,1164.75,0.0,0.0,80,0.0,4659000000.0,0
647472.620010376,17,0,1816,0,487,20,106.82352941176472,40467.0387506485,40467.0387506485,340,67087.42258470537,2804.75180552175,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
293281.55517578125,2,0,64,0,32,32,32.0,293281.55517578125,293281.55517578125,64,0.0,218.2203376603106,0
663899.1832733154,6,0,1065,0,965,20,177.5,132779.8366546631,132779.8366546631,120,135353.72289666004,1604.159226027483,1
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0,0
918897.6287841796,8,0,1317,0,663,20,164.625,131271.0898263114,131271.0898263114,160,144521.12476406153,1433.2390886050723,0
435242.1760559082,7,0,1546,0,707,20,220.8571428571429,72540.3626759847,72540.3626759847,140,70904.14468590532,3552.0454704311824,0
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0,1
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
766412.4965667725,19,0,808,0,245,20,42.526315789473685,42578.47203148736,42578.47203148736,404,86304.9631700138,1054.2625591564895,1
290344.7151184082,8,0,369,0,101,20,46.125,41477.81644548689,41477.81644548689,160,66149.33535886472,1270.9031051228696,0
381076.5743255615,4,0,1322,0,1231,20,330.5,127025.52477518718,127025.52477518718,80,135342.4304737137,3469.119040811436,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
447662.1150970459,7,0,349,0,101,20,49.85714285714285,74610.35251617432,74610.35251617432,140,101007.23469470156,779.6058416163772,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,1
1.0,1,0,72,0,72,72,72.0,0.0,0.0,8,0.0,72000000.0,0
508474.588394165,14,0,15386,0,1472,20,1099.0,39113.42987647424,39113.42987647424,292,95478.582926399,30259.132611899397,1
553952.693939209,8,0,369,0,101,20,46.125,79136.0991341727,79136.0991341727,160,129507.52840041656,666.1218620962139,1
692268.8484191895,76,0,2471,0,971,20,32.51315789473684,9230.25131225586,9230.25131225586,1520,36825.83635261552,3569.4224948047,0
883219.7189331055,9,0,447,0,101,20,49.66666666666666,110402.46486663818,110402.46486663818,180,111499.61831385676,506.1028308334854,1
1069781.3034057615,562,0,11240,0,20,20,20.0,1906.9185443952967,1906.9185443952967,11240,4903.482859687577,10506.820379283388,1
335345.983505249,3,0,1239,0,1168,20,413.0,167672.9917526245,167672.9917526245,60,237125.4189802337,3694.691634738504,1
211159.94453430176,2,0,79,0,59,20,39.5,211159.94453430176,211159.94453430176,40,0.0,374.1239853715101,0
536040.0676727295,22,0,978,0,488,20,44.45454545454545,25525.71750822521,25525.71750822521,440,64751.09277184179,1824.4904793145088,1
98973.98948669434,2,0,40,0,20,20,20.0,98973.98948669434,98973.98948669434,40,0.0,404.1465864663103,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
854725.8377075195,9,0,1839,0,678,20,204.33333333333331,106840.72971343994,106840.72971343994,180,127785.5306057762,2151.5671094399413,1
214750.0514984131,2,0,79,0,59,20,39.5,214750.0514984131,214750.0514984131,40,0.0,367.8695276149155,1
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
1.0,1,0,20,0,20,20,20.0,0.0,0.0,20,0.0,20000000.0,0
653547.0485687256,7,0,1372,0,738,20,196.0,108924.5080947876,108924.5080947876,140,119569.09482916316,2099.313282807555,1
483208.41789245605,12,0,647,0,101,20,53.91666666666666,43928.03799022328,43928.03799022328,240,73614.70470886378,1338.9667399047626,0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0,0
1.0,2,0,16,0,8,8,8.0,0.0,0.0,0,0.0,16000000.0,1
