Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Flow IAT Mean,Fwd IAT Mean,Fwd Header Length,Flow IAT Std,Flow Bytes/s
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0
687702.4173736572,6,0,1090,0,475,20,181.66666666666666,137540.48347473145,137540.48347473145,120,165031.70807420203,1584.9878849673403
559848.5469818115,8,0,369,0,101,20,46.125,79978.3638545445,79978.3638545445,160,118774.03474630641,659.1068280686064
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
289477.5867462158,3,0,1030,0,959,20,343.3333333333333,144738.7933731079,144738.7933731079,60,203278.12787810492,3558.1338492468435
223208.18901062012,3,0,529,0,489,20,176.33333333333334,111604.09450531006,111604.09450531006,60,157832.0240657781,2369.98473194382
411960.3633880615,4,0,1013,0,922,20,253.25,137320.12112935385,137320.12112935385,80,193460.07719553763,2458.974430619595
291083.57429504395,3,0,1513,0,1442,20,504.3333333333333,145541.78714752197,145541.78714752197,60,204350.34370422206,5197.819917060709
226495.98121643066,3,0,528,0,488,20,176.0,113247.99060821533,113247.99060821533,60,160156.844229639,2331.1671896529765
274515.15197753906,5,0,251,0,101,20,50.2,68628.78799438477,68628.78799438477,100,136561.8053911291,914.3393295118985
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
230808.97331237793,3,0,90,0,50,20,30.0,115404.48665618896,115404.48665618896,60,113805.76328608628,389.93284666707297
88775.3963470459,3,0,86,0,46,20,28.666666666666668,44387.69817352295,44387.69817352295,60,62773.684759519616,968.736874615618
516309.0229034424,45,0,60268,0,1472,20,1339.2888888888888,11734.295975078236,11734.295975078236,900,52468.74689419662,116728.54303627196
501298.9044189453,47,0,2369,0,488,20,50.40425531914894,10897.802269977072,10897.802269977072,940,49099.92159864236,4725.72347379435
517579.5555114746,4,0,92,0,32,20,23.0,172526.51850382486,172526.51850382486,92,144182.94109078863,177.75045211954935
513617.75398254395,10,0,1846,0,663,20,184.6,57068.63933139377,57068.63933139377,200,84742.04732229904,3594.112519838516
457568.1686401367,12,0,589,0,101,20,49.083333333333336,41597.10624001243,41597.10624001243,240,64051.761599214435,1287.2398920372243
262067.31796264648,2,0,52,0,32,20,26.0,262067.31796264648,262067.31796264648,52,0.0,198.42230005731494
259047.7466583252,3,0,589,0,537,20,196.33333333333334,129523.8733291626,129523.8733291626,72,179027.84276930074,2273.7121152297464
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
719852.4475097656,10,0,748,0,312,20,74.8,79983.60527886284,79983.60527886284,200,100339.98812383498,1039.1018361993588
879657.7453613281,12,0,9205,0,1472,20,767.0833333333334,79968.88594193892,79968.88594193892,252,195007.2967332711,10464.297107074246
879657.7453613281,14,0,5864,0,1472,20,418.85714285714283,67665.98041240986,67665.98041240986,292,109938.9080348741,6666.229031600585
577118.3967590332,8,0,1512,0,857,20,189.0,82445.48525129046,82445.48525129046,160,85507.64506239322,2619.913016966798
686566.5912628174,26,0,22395,0,1472,20,861.3461538461538,27462.663650512695,27462.663650512695,520,64043.05199442072,32618.831567100246
606230.7357788086,22,0,1628,0,485,20,74.0,28868.13027518136,28868.13027518136,440,57585.99050458211,2685.4461575732407
1.0,1,0,56,0,56,56,56.0,0.0,0.0,8,0.0,56000000.0
1.0,1,0,56,0,56,56,56.0,0.0,0.0,8,0.0,56000000.0
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0
1015.9015655517578,2,0,64,0,44,20,32.0,1015.9015655517578,1015.9015655517578,40,0.0,62998.229523586015
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
1.0,2,0,40,0,20,20,20.0,0.0,0.0,40,0.0,40000000.0
630738.2583618164,6,0,1843,0,1228,20,307.1666666666667,126147.65167236328,126147.65167236328,120,162575.55424827346,2921.9727447431646
596738.338470459,34,0,41203,0,1472,20,1211.8529411764705,18082.979953650272,18082.979953650272,680,68457.81205973739,69047.01331174772
624740.3621673584,27,0,800,0,211,20,29.62962962962963,24028.475467975324,24028.475467975324,540,72274.62570345598,1280.5319592680523
613146.5435028076,7,0,291,0,101,20,41.57142857142857,102191.09058380127,102191.09058380127,140,145371.1165944887,474.60106084519987
532719.612121582,24,0,21928,0,1472,20,913.6666666666666,23161.72226615574,23161.72226615574,480,61320.538020496795,41162.36665789469
516390.0852203369,18,0,1926,0,489,20,107.0,30375.88736590217,30375.88736590217,360,39122.656647651595,3729.7385351196294
431055.54580688477,4,0,219,0,101,20,54.75,143685.18193562826,143685.18193562826,80,131274.78782882655,508.05517323772744
501028.06091308594,4,0,923,0,832,20,230.75,167009.3536376953,167009.3536376953,80,254144.8991960082,1842.2121873132255
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
345947.9808807373,2,0,79,0,59,20,39.5,345947.9808807373,345947.9808807373,40,0.0,228.3580317447628
203625.20217895508,2,0,79,0,59,20,39.5,203625.20217895508,203625.20217895508,40,0.0,387.9676933632764
864067.792892456,20,0,19973,0,1472,20,998.65,45477.25225749769,45477.25225749769,400,92202.20456063248,23115.08444625697
864067.792892456,23,0,1105,0,488,20,48.04347826086956,39275.80876783891,39275.80876783891,460,84411.1792809434,1278.8348426933337
514964.8189544678,7,0,2245,0,1291,20,320.7142857142857,85827.46982574463,85827.46982574463,140,82150.1490046183,4359.521111671317
416931.8675994873,8,0,369,0,101,20,46.125,59561.69537135533,59561.69537135533,160,63829.65179342027,885.0366898662407
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
514547.58644104004,12,0,11080,0,1472,20,923.3333333333334,46777.05331282182,46777.05331282182,252,103343.52826724002,21533.479685789203
255886.31629943848,3,0,297,0,245,20,99.0,127943.15814971924,127943.15814971924,72,180938.94946817873,1160.6716775446885
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
902075.7675170898,11,0,1389,0,998,20,126.27272727272727,90207.57675170898,90207.57675170898,232,121918.54275228461,1539.7819673430984
529696.9413757324,4,0,131,0,47,20,32.75,176565.64712524414,176565.64712524414,80,304952.8498082434,247.31122603760167
92931.98585510254,54,0,3916,0,1404,20,72.51851851851852,1753.433695379293,1753.433695379293,1080,6163.914645801326,42138.34412304219
105728.8646697998,1166,0,1700730,0,1472,20,1458.6020583190395,90.75439027450626,90.75439027450626,23320,1559.1754052643053,16085768.113670034
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
575331.2110900879,8,0,2235,0,1090,20,279.375,82190.1730128697,82190.1730128697,160,120148.45892802945,3884.718848757249
266958.71353149414,8,0,369,0,101,20,46.125,38136.959075927734,38136.959075927734,160,75899.49128457178,1382.2362084332851
823601.245880127,8,0,1304,0,648,20,163.0,117657.32084001813,117657.32084001813,160,134973.5252866345,1583.29046552923
823601.245880127,11,0,557,0,101,20,50.63636363636363,82360.1245880127,82360.1245880127,220,123890.87640093578,676.2981513035131
756058.2160949707,39,0,41550,0,1472,20,1065.3846153846155,19896.268844604492,19896.268844604492,780,46542.39700171423,54956.0855440539
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0
636956.2149047852,33,0,1960,0,487,20,59.39393939393939,19904.881715774536,19904.881715774536,660,39884.64126003988,3077.134588117629
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
700614.4523620605,21,0,21132,0,1472,20,1006.2857142857143,35030.72261810303,35030.72261810303,420,78031.80210745076,30162.095470276563
488676.0711669922,23,0,1400,0,487,20,60.869565217391305,22212.548689408737,22212.548689408737,460,37197.27579536966,2864.8834731291495
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
509211.54022216797,6,0,1315,0,697,20,219.16666666666666,101842.3080444336,101842.3080444336,120,99597.10216993227,2582.423798616717
409058.0940246582,4,0,219,0,101,20,54.75,136352.6980082194,136352.6980082194,80,6757.194482480458,535.3762783307708
664819.0021514893,19,0,21058,0,1472,20,1108.3157894736842,36934.38900841607,36934.38900841607,380,90400.61058089392,31674.786568753356
664819.0021514893,21,0,1326,0,487,20,63.142857142857146,33240.95010757446,33240.95010757446,420,76973.88928580677,1994.5278274369336
499708.6524963379,12,0,12196,0,1472,20,1016.3333333333334,45428.0593178489,45428.0593178489,252,100978.37363435989,24406.221383347725
250052.21366882324,3,0,297,0,245,20,99.0,125026.10683441162,125026.10683441162,72,176813.61593593244,1187.7519324558184
1.0,1,0,21,0,21,21,21.0,0.0,0.0,20,0.0,21000000.0
1.0,1,0,32,0,32,32,32.0,0.0,0.0,32,0.0,32000000.0
541203.7372589111,4,0,131,0,47,20,32.75,180401.24575297037,180401.24575297037,80,310739.01193981693,242.05302177602994
789829.9694061279,11,0,1350,0,971,20,122.72727272727273,78982.9969406128,78982.9969406128,220,119615.87006630666,1709.2286343794515
330154.6573638916,5,0,1389,0,823,20,277.8,82538.6643409729,82538.6643409729,100,132559.71680975176,4207.1192061636275
278499.1264343262,5,0,309,0,101,20,61.8,69624.78160858154,69624.78160858154,100,125452.88086434019,1109.5187405295735
590926.8856048584,22,0,21516,0,1472,20,978.0,28139.37550499326,28139.37550499326,440,64611.25609392073,36410.59583534898
535050.8689880371,24,0,1420,0,487,20,59.166666666666664,23263.081260349438,23263.081260349438,480,51087.968805033255,2653.9532637068737
